Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
          The/DT U.S./NNP |    Chamber/NN->NNP     | of/IN Commerce/NNP ,/, *-
91/CD ``/`` will/MD be/VB |   impossible/NN->JJ    | for/IN many/JJ employers/
ossible/JJ for/IN many/JJ |   employers/NN->NNS    | to/TO accommodate/VB and/
                          |     Zenith/NN->NNP     | Data/NNP Systems/NNPS Cor
               Zenith/NNP |      Data/NN->NNP      | Systems/NNPS Corp./NNP ,/
      Zenith/NNP Data/NNP |   Systems/NNP->NNPS    | Corp./NNP ,/, a/DT subsid
 a/DT subsidiary/NN of/IN |     Zenith/NN->NNP     | Electronics/NNP Corp./NNP
diary/NN of/IN Zenith/NNP |  Electronics/NN->NNP   | Corp./NNP ,/, received/VB
/CD million/CD *U*/-NONE- |      Navy/NN->NNP      | contract/NN for/IN softwa
and/CC services/NNS of/IN | microcomputers/NN->NNS | over/IN an/DT 84-month/JJ
mputers/NNS over/IN an/DT |    84-month/NN->JJ     | period/NN ./.
                          |    Rockwell/NN->NNP    | International/NNP Corp./N
/CD million/CD *U*/-NONE- |      Air/NN->NNP       | Force/NNP contract/NN for
ion/CD *U*/-NONE- Air/NNP |     Force/NN->NNP      | contract/NN for/IN AC-130
               Martin/NNP |    Marietta/NN->NNP    | Corp./NNP was/VBD given/V
rp./NNP was/VBD given/VBN |    *-166/NN->-NONE-    | a/DT $/$ 29.9/CD million/
/CD million/CD *U*/-NONE- |      Air/NN->NNP       | Force/NNP contract/NN for
ion/CD *U*/-NONE- Air/NNP |     Force/NN->NNP      | contract/NN for/IN low-al
                          |    Federal/JJ->NNP     | Data/NNP Corp./NNP got/VB
              Federal/NNP |      Data/NN->NNP      | Corp./NNP got/VBD a/DT $/
/CD million/CD *U*/-NONE- |      Air/NN->NNP       | Force/NNP contract/NN for
ion/CD *U*/-NONE- Air/NNP |     Force/NN->NNP      | contract/NN for/IN intell
NN for/IN intelligence/NN |      data/NN->NNS      | handling/NN ./.
S ,/, T./NNP Marshall/NNP |      Hahn/NN->NNP      | Jr./NNP has/VBZ made/VBN 
/NNP Bush/NNP mode/NN :/: |      kind/NN->JJ       | and/CC gentle/JJ ./.
ode/NN :/: kind/JJ and/CC |     gentle/NN->JJ      | ./.
DT question/NN now/RB :/: |       Can/NN->MD       | he/PRP act/VB more/RBR li
P act/VB more/RBR like/IN |  hard-charging/NN->JJ  | Teddy/NNP Roosevelt/NNP ?
 like/IN hard-charging/JJ |     Teddy/NN->NNP      | Roosevelt/NNP ?/.
ard-charging/JJ Teddy/NNP |   Roosevelt/NN->NNP    | ?/.
                  Mr./NNP |      Hahn/NN->NNP      | ,/, the/DT 62-year-old/JJ
./NNP Hahn/NNP ,/, the/DT |   62-year-old/NN->JJ   | chairman/NN and/CC chief/
airman/NN and/CC chief/NN |    executive/NN->JJ    | officer/NN of/IN Georgia-
duct/NN concern/NN 's/POS |   unsolicited/NN->JJ   | $/$ 3.19/CD billion/CD *U
 *U*/-NONE- bid/NN for/IN |     Great/JJ->NNP      | Northern/NNP Nekoosa/NNP 
T offer/NN a/DT public/JJ |      cold/NN->JJ       | shoulder/NN ,/, a/DT reac
ction/NN 0/-NONE- Mr./NNP |      Hahn/NN->NNP      | has/VBZ n't/RB faced/VBN 
P Hahn/NNP has/VBZ n't/RB |     faced/NN->VBN      | *T*-2/-NONE- in/IN his/PR
WDT *T*-3/-NONE- were/VBD |   negotiated/NN->VBN   | *-1/-NONE- behind/IN the/
                          |       So/RB->IN        | far/RB ,/, Mr./NNP Hahn/N
 So/IN far/RB ,/, Mr./NNP |      Hahn/NN->NNP      | is/VBZ trying/VBG *-1/-NO
ying/VBG *-1/-NONE- to/TO |     entice/NN->VB      | Nekoosa/NNP into/IN */-NO
oosa/NNP into/IN */-NONE- |  negotiating/NN->VBG   | a/DT friendly/JJ surrende
IN *-1/-NONE- talking/VBG |      tough/NN->JJ      | ./.
/DT takeover/NN battle/NN |     opens/NN->VBZ      | up/RP the/DT possibility/
er/NN battle/NN opens/VBZ |       up/IN->RP        | the/DT possibility/NN of/
N all/DT 0/-NONE- that/DT |    implies/NN->VBZ     | *T*-1/-NONE- ./.
IN example/NN ,/, Mr./NNP |      Hahn/NN->NNP      | could/MD face/VB the/DT d
               *-2/-NONE- |     Given/NN->VBN      | *-3/-NONE- that/DT choice
ociates/NNS of/IN Mr./NNP |      Hahn/NN->NNP      | and/CC industry/NN observ
hn/NNP and/CC industry/NN |   observers/NN->NNS    | say/VBP 0/-NONE- the/DT f
o/WP *T*-1/-NONE- has/VBZ |   developed/VBD->VBN   | a/DT reputation/NN for/IN
NN for/IN */-NONE- not/RB |   overpaying/NN->VBG   | for/IN anything/NN --/: w
anything/NN --/: would/MD |      fold/NN->VB       | ./.
/'' says/VBZ *T*-2/-NONE- |      A.D./NN->NNP      | Correll/NNP ,/, Georgia-P
VBZ *T*-2/-NONE- A.D./NNP |    Correll/NN->NNP     | ,/, Georgia-Pacific/NNP '
eorgia-Pacific/NNP 's/POS |    executive/NN->JJ    | vice/NN president/NN for/
  Says/VBZ *ICH*-1/-NONE- |    long-time/NN->JJ    | associate/NN Jerry/NNP Gr
JJ associate/NN Jerry/NNP |    Griffin/NN->NNP     | ,/, vice/NN president/NN 
 development/NN ,/, at/IN |      WTD/NN->NNP       | Industries/NNPS Inc./NNP 
ment/NN ,/, at/IN WTD/NNP |  Industries/NNP->NNPS  | Inc./NNP :/: ``/`` He/PRP
 school/NN of/IN */-NONE- |    winning/JJ->VBG     | at/IN any/DT cost/NN ./. 
nsensus/NN manager/NN ,/, |    insiders/NN->NNS    | say/VBP 0/-NONE- *T*-1/-N
N committee/NN signed/VBD |      onto/NN->IN       | the/DT deal/NN --/: even/
to/IN the/DT deal/NN --/: |      even/JJ->RB       | though/IN Mr./NNP Hahn/NN
even/RB though/IN Mr./NNP |      Hahn/NN->NNP      | knew/VBD 0/-NONE- he/PRP 
hough/IN Mr./NNP Hahn/NNP |      knew/NN->VBD      | 0/-NONE- he/PRP wanted/VB
fter/IN the/DT company/NN |      early/JJ->RB      | on/IN ,/, says/VBZ 0/-NON
he/DT company/NN early/RB |       on/RB->IN        | ,/, says/VBZ 0/-NONE- *T*
ONE- *T*-1/-NONE- Mr./NNP |    Correll/NN->NNP     | ./.
                          |  Associates/NNP->NNS   | say/VBP 0/-NONE- Mr./NNP 
 say/VBP 0/-NONE- Mr./NNP |      Hahn/NN->NNP      | picked/VBD up/RP that/DT 
0/-NONE- Mr./NNP Hahn/NNP |     picked/NN->VBD     | up/RP that/DT careful/JJ 
./NNP Hahn/NNP picked/VBD |       up/IN->RP        | that/DT careful/JJ approa
 picked/VBD up/RP that/DT |     careful/NN->JJ     | approach/NN to/TO managem
ent/NN of/IN Virginia/NNP |  Polytechnic/NN->NNP   | Institute/NNP ./.
               *-1/-NONE- |    Assuming/NN->VBG    | that/DT post/NN at/IN the
  *-1/-NONE- Assuming/VBG |      that/WDT->DT      | post/NN at/IN the/DT age/
ONE- Assuming/VBG that/DT |      post/VB->NN       | at/IN the/DT age/NN of/IN
NN of/IN 35/CD ,/, he/PRP |    managed/VBN->VBD    | by/IN consensus/NN ,/, as
/VBZ the/DT rule/NN in/IN |  universities/NN->NNS  | ,/, says/VBZ 0/-NONE- *T*
/-NONE- Warren/NNP H./NNP |    Strother/NN->NNP    | ,/, a/DT university/NN of
ho/WP *T*-2/-NONE- is/VBZ |  researching/NN->VBG   | a/DT book/NN on/IN Mr./NN
/DT book/NN on/IN Mr./NNP |      Hahn/NN->NNP      | ./.
TO take/VB a/DT strong/JJ |      stand/VB->NN      | ./.
In/IN 1970/CD ,/, Mr./NNP |      Hahn/NN->NNP      | called/VBD in/RP state/NN
0/CD ,/, Mr./NNP Hahn/NNP |    called/VBN->VBD     | in/RP state/NN police/NNS
./NNP Hahn/NNP called/VBD |       in/IN->RP        | state/NN police/NNS to/TO
called/VBD in/RP state/NN |     police/NN->NNS     | to/TO arrest/VB student/N
state/NN police/NNS to/TO |     arrest/NN->VB      | student/NN protesters/NNS
o/TO arrest/VB student/NN |   protesters/NN->NNS   | who/WP *T*-3/-NONE- were/
/WP *T*-3/-NONE- were/VBD |   occupying/NN->VBG    | a/DT university/NN buildi
                  That/DT |   impressed/NN->VBN    | Robert/NNP B./NNP Pamplin
sed/VBN Robert/NNP B./NNP |    Pamplin/NN->NNP     | ,/, Georgia-Pacific/NNP '
eorgia-Pacific/NNP 's/POS |      chief/JJ->NN      | executive/JJ at/IN the/DT
cific/NNP 's/POS chief/NN |    executive/NN->JJ    | at/IN the/DT time/NN ,/, 
me/NN ,/, whom/WP Mr./NNP |      Hahn/NN->NNP      | had/VBD met/VBN *T*-4/-NO
 Mr./NNP Hahn/NNP had/VBD |      met/VBD->VBN      | *T*-4/-NONE- while/IN *-1
NONE- while/IN *-1/-NONE- |  fundraising/NN->VBG   | for/IN the/DT institute/N
raising/VBG for/IN the/DT |    institute/VB->NN    | ./.
In/IN 1975/CD ,/, Mr./NNP |    Pamplin/NN->NNP     | enticed/VBD Mr./NNP Hahn/
D ,/, Mr./NNP Pamplin/NNP |    enticed/NN->VBD     | Mr./NNP Hahn/NNP into/IN 
n/NNP enticed/VBD Mr./NNP |      Hahn/NN->NNP      | into/IN */-NONE- joining/
Hahn/NNP into/IN */-NONE- |    joining/NN->VBG     | the/DT company/NN as/IN e
G the/DT company/NN as/IN |    executive/NN->JJ    | vice/NN president/NN in/I
ls/NNS ;/: the/DT move/NN |   befuddled/NN->VBD    | many/JJ in/IN Georgia-Pac
           But/CC Mr./NNP |      Hahn/NN->NNP      | rose/VBD swiftly/RB throu
Mr./NNP Hahn/NNP rose/VBD |     swiftly/NN->RB     | through/IN the/DT ranks/N
 ranks/NNS ,/, *-1/-NONE- | demonstrating/NN->VBG  | a/DT raw/JJ intelligence/
E- demonstrating/VBG a/DT |       raw/NN->JJ       | intelligence/NN that/IN h
 says/VBZ 0/-NONE- he/PRP |      knew/NN->VBD      | 0/-NONE- he/PRP possessed
 knew/VBD 0/-NONE- he/PRP |   possessed/NN->VBD    | *T*-2/-NONE- early/RB on/
 physicist/NN ,/, Mr./NNP |      Hahn/NN->NNP      | skipped/VBD first/JJ grad
t/NN ,/, Mr./NNP Hahn/NNP |    skipped/NN->VBD     | first/JJ grade/NN because
/NNP Hahn/NNP skipped/VBD |      first/RB->JJ      | grade/NN because/IN his/P
 far/RB above/IN his/PRP$ |   classmates/NN->NNS   | ./.
               *-1/-NONE- |     Moving/NN->VBG     | rapidly/RB through/IN sch
h/IN school/NN ,/, he/PRP |   graduated/NN->VBD    | Phi/NNP Beta/NNP Kappa/NN
 ,/, he/PRP graduated/VBD |      Phi/NN->NNP       | Beta/NNP Kappa/NNP from/I
PRP graduated/VBD Phi/NNP |      Beta/NN->NNP      | Kappa/NNP from/IN the/DT 
ated/VBD Phi/NNP Beta/NNP |     Kappa/NN->NNP      | from/IN the/DT University
e/DT University/NNP of/IN |    Kentucky/NN->NNP    | at/IN age/NN 18/CD ,/, af
/CD ,/, after/IN */-NONE- |    spending/NN->VBG    | only/RB 2/CD 1\/2/CD year
                  Mr./NNP |      Hahn/NN->NNP      | agrees/VBZ that/IN he/PRP
he/PRP has/VBZ a/DT ``/`` |    retentive/NN->JJ    | ''/'' memory/NN ,/, but/C
PRP call/VBP it/PRP ``/`` |  photographic/NN->JJ   | ''/'' ./.
                  Mr./NNP |      Hahn/NN->NNP      | also/RB has/VBZ engineere
 Hahn/NNP also/RB has/VBZ |   engineered/NN->VBN   | a/DT surprising/JJ turnar
               *-1/-NONE- |     Taking/NN->VBG     | over/RP as/RB chief/NN ex
    *-1/-NONE- Taking/VBG |      over/IN->RP       | as/RB chief/NN executive/
-NONE- Taking/VBG over/RP |       as/IN->RB        | chief/NN executive/JJ off
 Taking/VBG over/RP as/RB |      chief/JJ->NN      | executive/JJ officer/NN i
BG over/RP as/RB chief/NN |    executive/NN->JJ    | officer/NN in/IN 1983/CD 
 in/IN 1983/CD ,/, he/PRP |   inherited/NN->VBD    | a/DT company/NN that/WDT 
ONE- in/IN debt/NN and/CC |      hurt/VB->VBN      | *-2/-NONE- by/IN a/DT rec
VBN *-2/-NONE- by/IN a/DT | recession-inspired/NN->JJ | slide/NN in/IN its/PRP$ b
J slide/NN in/IN its/PRP$ | building-products/NN->NNS | business/NN ./.
                  Mr./NNP |      Hahn/NN->NNP      | began/VBD *-1/-NONE- sell
BD *-1/-NONE- selling/VBG |    non-core/NN->JJ     | businesses/NNS ,/, such/J
           He/PRP even/RB |     sold/VBN->VBD      | one/CD unit/NN that/WDT *
VBD vinyl/NN checkbook/NN |     covers/NN->NNS     | ./.
/PRP began/VBD *-1/-NONE- |    building/NN->VBG    | up/RP the/DT pulp/NN and/
D *-1/-NONE- building/VBG |       up/IN->RP        | the/DT pulp/NN and/CC pap
N of/IN the/DT company/NN |      while/IN->NN      | *-1/-NONE- refocusing/NN 
n/IN materials/NNS for/IN |    new-home/NN->JJ     | construction/NN ./.
NN was/VBD */-NONE- to/TO |     buffet/NN->VB      | building/NN products/NNS 
g/NN products/NNS from/IN |     cycles/NN->NNS     | in/IN new-home/JJ constru
 from/IN cycles/NNS in/IN |    new-home/NN->JJ     | construction/NN ./.
s/VBZ paid/VBN off/RP ,/, |       so/IN->RB        | far/RB ./.
paid/VBN off/RP ,/, so/RB |       far/IN->RB       | ./.
3/CD ,/, when/WRB Mr./NNP |      Hahn/NN->NNP      | took/VBD the/DT reins/NNS
 Hahn/NNP took/VBD the/DT |     reins/NN->NNS      | *T*-1/-NONE- ./.
BG operations/NNS has/VBZ |    soared/VBD->VBN     | to/TO $/$ 467/CD million/
                  Mr./NNP |      Hahn/NN->NNP      | attributes/VBZ the/DT gai
         Mr./NNP Hahn/NNP |   attributes/NN->VBZ   | the/DT gains/NNS to/TO th
losophy/NN of/IN */-NONE- | concentrating/NN->VBG  | on/IN what/WP a/DT compan
             ``/`` The/DT |     record/JJ->NN      | of/IN companies/NNS that/
WDT *T*-8/-NONE- have/VBP |  diversified/NN->VBN   | is/VBZ n't/RB all/DT that
VBZ n't/RB all/DT that/DT |   impressive/NN->JJ    | ,/, ''/'' he/PRP says/VBZ
d/JJ match/NN ,/, Mr./NNP |      Hahn/NN->NNP      | and/CC many/JJ analysts/N
/JJ companies/NNS with/IN |  high-quality/NN->JJ   | assets/NNS and/CC strong/
 and/CC strong/JJ cash/NN |     flows/NNS->VBZ     | ./.
 be/VB the/DT largest/JJS | forest-products/NN->NNS | concern/NN in/IN the/DT w
    But/CC can/MD Mr./NNP |      Hahn/NN->NNP      | carry/VB it/PRP off/IN ?/
C can/MD Mr./NNP Hahn/NNP |     carry/VBP->VB      | it/PRP off/IN ?/.
 Hahn/NNP carry/VB it/PRP |       off/RP->IN       | ?/.
stance/NN ,/, industry/NN |   observers/NN->NNS    | say/VBP 0/-NONE- *T*-1/-N
entering/VBG uncharted/JJ |     waters/NN->NNS     | ./.
  Says/VBZ *ICH*-1/-NONE- |    Kathryn/NN->NNP     | McAuley/NNP ,/, an/DT ana
ICH*-1/-NONE- Kathryn/NNP |    McAuley/NN->NNP     | ,/, an/DT analyst/NN at/I
N 0/-NONE- he/PRP has/VBZ |     faced/NN->VBN      | *T*-2/-NONE- ./.
                     A/DT |  House-Senate/NN->NNP  | conference/NN approved/VB
/NN approved/VBD major/JJ |    portions/NN->NNS    | of/IN a/DT package/NN for
 aid/NN for/IN Poland/NNP |      that/IN->WDT      | *T*-1/-NONE- relies/VBZ h
NNP that/WDT *T*-1/-NONE- |     relies/NN->VBZ     | heavily/RB on/IN $/$ 240/
 credit/NN and/CC loan/NN |   guarantees/NN->NNS   | in/IN fiscal/JJ 1990/CD i
 hopes/NNS of/IN */-NONE- |  stimulating/NN->VBG   | future/JJ trade/NN and/CC
l/NNP Development/NNP ,/, | appropriators/NN->NNS  | approved/VBD $/$ 200/CD m
n/IN secondary/JJ loan/NN |   guarantees/NN->NNS   | under/IN an/DT expanded/V
antees/NNS under/IN an/DT |   expanded/VBD->VBN    | trade/NN credit/NN insura
/NN program/NN ,/, and/CC |      total/NN->JJ      | loan/NN guarantees/NNS fo
, and/CC total/JJ loan/NN |   guarantees/NN->NNS   | for/IN the/DT Overseas/NN
rantees/NNS for/IN the/DT |    Overseas/NN->NNP    | Private/NNP Investment/NN
or/IN the/DT Overseas/NNP |    Private/JJ->NNP     | Investment/NNP Corp./NNP 
elopment/NN assistance/NN |       as/RB->IN        | well/RB ,/, and/CC though
both/DT sides/NNS are/VBP |   committed/VBD->VBN   | to/TO */-NONE- adding/VBG
S and/CC environmental/JJ |  initiatives/NN->NNS   | sought/VBN */-NONE- by/IN
mental/JJ initiatives/NNS |     sought/NN->VBN     | */-NONE- by/IN the/DT Bus
ement/NN on/IN Poland/NNP |   contrasts/NN->VBZ    | with/IN the/DT major/JJ d
aining/VBG over/IN the/DT |   underlying/JJ->VBG   | foreign/JJ aid/NN bill/NN
-NONE- has/VBZ already/RB |    provoked/NN->VBN    | veto/NN threats/NNS by/IN
 and/CC is/VBZ sharply/RB |    confined/NN->VBN    | under/IN this/DT year/NN 
 factor/NN in/IN */-NONE- |    shaping/NN->VBG     | the/DT Poland/NNP package
ge/NN ,/, and/CC while/IN |     more/JJR->RBR      | ambitious/JJ authorizing/
/IN more/RBR ambitious/JJ |  authorizing/NN->VBG   | legislation/NN is/VBZ sti
RB pending/VBG ,/, the/DT | appropriations/NN->NNS | bill/NN in/IN conference/
nference/NN will/MD be/VB |     more/JJR->RBR      | decisive/JJ on/IN U.S./NN
NN will/MD be/VB more/RBR |    decisive/NN->JJ     | on/IN U.S./NNP aid/NN to/
e/NN ,/, the/DT House/NNP | Appropriations/NN->NNPS | Committee/NNP last/JJ wee
ired/VBN *-1/-NONE- to/TO |   reallocate/NN->VB    | an/DT estimated/VBN $/$ 1
*U*/-NONE- from/IN the/DT |    Pentagon/NN->NNP    | ./.
e/NN of/IN the/DT loan/NN |   guarantees/NN->NNS   | approved/VBN */-NONE- yes
DT loan/NN guarantees/NNS |   approved/VBD->VBN    | */-NONE- yesterday/NN is/
on/IN Poland/NNP came/VBD |       as/RB->IN        | the/DT conference/NN sepa
s/IN the/DT conference/NN |   separately/NN->RB    | approved/VBD $/$ 220/CD m
national/JJ population/NN |    planning/NN->VBG    | activities/NNS ,/, an/DT 
T United/NNP Nations/NNPS |   Population/NN->NNP   | Fund/NNP will/MD receive/
portion/NN of/IN these/DT | appropriations/NN->NNS | ,/, but/CC the/DT size/NN
T second/JJ area/NN of/IN |     common/NN->JJ      | concern/NN ,/, the/DT wor
d/VB a/DT series/NN of/IN |  initiatives/NN->NNS   | ,/, related/VBN both/DT t
of/IN initiatives/NNS ,/, |    related/JJ->VBN     | both/DT to/TO global/JJ w
DT plight/NN of/IN the/DT |     African/NN->JJ     | elephant/NN ./.
                   The/DT |    sweeping/VBG->JJ    | nature/NN of/IN the/DT bi
e/NN of/IN the/DT bill/NN |     draws/NN->VBZ      | a/DT variety/NN of/IN spe
IN special/JJ interest/NN |   amendments/NN->NNS   | ,/, running/VBG from/IN a
o/TO a/DT small/JJ but/CC |   intriguing/NN->JJ    | struggle/NN among/IN suga
       Panama/NNP was/VBD |    stripped/NN->VBN    | *-8/-NONE- of/IN this/DT 
rences/NNS with/IN the/DT |    Noriega/NN->NNP     | regime/NN ,/, but/CC the/
untry/NN would/MD have/VB |   received/VBD->VBN    | a/DT quota/NN of/IN 30,53
of/IN 30,537/CD metric/JJ |      tons/NN->NNS      | over/IN a/DT 21-month/JJ 
/JJ tons/NNS over/IN a/DT |    21-month/NN->JJ     | period/NN ending/VBG Sept
s/VBZ already/RB been/VBN |  reallocated/NN->VBN   | *-9/-NONE- ,/, according/
T remaining/VBG 23,403/CD |      tons/NN->NNS      | are/VBP still/RB a/DT luc
ative/JJ target/NN for/IN |    growers/NN->NNS     | because/IN the/DT current
NS a/DT pound/NN runs/VBZ |       as/IN->RB        | much/JJ as/IN a/DT nickel
ONE- ,/, and/CC House/NNP |    Majority/NN->NNP    | Whip/NNP William/NNP Gray
CC House/NNP Majority/NNP |      Whip/NN->NNP      | William/NNP Gray/NNP -LRB
/NNP Whip/NNP William/NNP |      Gray/NN->NNP      | -LRB-/-LRB- D./NNP ,/, Pa
NP -LRB-/-LRB- D./NNP ,/, |       Pa/NN->NNP       | ./. -RRB-/-RRB- began/VBD
ted/VBN *-10/-NONE- to/TO | English-speaking/NN->JJ | countries/NNS of/IN the/D
ountries/NNS of/IN the/DT |   Caribbean/NN->NNP    | ,/, such/JJ as/IN Jamaica
ean/NNP ,/, such/JJ as/IN |    Jamaica/NN->NNP     | and/CC Barbados/NNP ./.
 as/IN Jamaica/NNP and/CC |    Barbados/NN->NNP    | ./.
ry/NNP Lewis/NNP ,/, a/DT |  conservative/NN->JJ   | Californian/NN ,/, added/
tended/VBN */-NONE- to/TO |     assist/VBP->VB     | Bolivia/NNP ,/, and/CC th
 */-NONE- to/TO assist/VB |    Bolivia/NN->NNP     | ,/, and/CC the/DT Senate/
the/DT Senate/NNP then/RB |   broadened/NN->VBD    | the/DT list/NN further/RB
adened/VBD the/DT list/NN |     further/JJ->RB     | by/IN *-1/-NONE- includin
NNS in/IN the/DT U.S./NNP |   Caribbean/NN->NNP    | Basin/NNP initiate/NN as/
DT U.S./NNP Caribbean/NNP |     Basin/NN->NNP      | initiate/NN as/RB well/RB
ppines/NNP -/: *-1/-NONE- |     backed/NN->VBN     | */-NONE- by/IN the/DT pow
VBN */-NONE- by/IN the/DT |    powerful/NN->JJ     | Hawaii/NNP Democrat/NNP S
 by/IN the/DT powerful/JJ |     Hawaii/NN->NNP     | Democrat/NNP Sen./NNP Dan
t/NNP Sen./NNP Daniel/NNP |     Inouye/NN->NNP     | ./.
                          |    Jamaica/NN->NNP     | ,/, wary/JJ of/IN */-NONE
          Jamaica/NNP ,/, |      wary/NN->JJ       | of/IN */-NONE- upsetting/
/, wary/JJ of/IN */-NONE- |   upsetting/NN->VBG    | its/PRP$ Caribbean/NNP Ba
E- upsetting/VBG its/PRP$ |   Caribbean/NN->NNP    | Basin/NNP allies/NNS ,/, 
BG its/PRP$ Caribbean/NNP |     Basin/NN->NNP      | allies/NNS ,/, has/VBZ ap
$ Caribbean/NNP Basin/NNP |     allies/NN->NNS     | ,/, has/VBZ apparently/RB
,/, has/VBZ apparently/RB |   instructed/NN->VBN   | its/PRP$ lobbyist/NN *-2/
byist/NN *-2/-NONE- to/TO |     abandon/NN->VB     | the/DT provision/NN initi
provision/NN initially/RB |    drafted/NN->VBN     | */-NONE- by/IN Mr./NNP Gr
BN */-NONE- by/IN Mr./NNP |      Gray/NN->NNP      | ,/, but/CC the/DT greater
is/VBZ whether/IN Mr./NNP |     Inouye/NN->NNP     | ,/, who/WP *T*-10/-NONE- 
 able/JJ *-3/-NONE- to/TO |     insert/NN->VB      | a/DT claim/NN by/IN the/D
/DT claim/NN by/IN the/DT | Philippines/NNP->NNPS  | ./.
n/NN ,/, the/DT House/NNP |     waived/NN->VBD     | budget/NN restrictions/NN
llion/CD *U*/-NONE- in/IN |  supplemental/NN->JJ   | appropriations/NNS for/IN
NE- in/IN supplemental/JJ | appropriations/NN->NNS | for/IN law/NN enforcement
/NN enforcement/NN and/CC |    anti-drug/NN->JJ    | programs/NNS in/IN fiscal
 The/DT funding/NN is/VBZ |   attached/VBD->VBN    | *-11/-NONE- to/TO an/DT e
NP domestic/JJ airline/NN |    flights/NN->NNS     | ./.
nate/NNP has/VBZ been/VBN |       as/IN->RB        | likely/JJ *-3/-NONE- to/T
ikely/JJ *-3/-NONE- to/TO |     bounce/NN->VB      | bills/NNS back/RB to/TO t
to/TO bounce/VB bills/NNS |      back/RP->RB       | to/TO the/DT House/NNP ./
fiscal/JJ 1990/CD bill/NN |    funding/NN->VBG     | the/DT State/NNP ,/, Just
e/NNP and/CC Commerce/NNP |  departments/NN->NNS   | ./.
DT Senate/NNP Foreign/NNP |   Relations/NNS->NNP   | Committee/NNP ,/, appropr
ons/NNP Committee/NNP ,/, | appropriators/NN->NNS  | from/IN both/DT houses/NN
VB forced/VBN *-12/-NONE- |      back/RP->RB       | to/TO conference/NN ./.
                Beauty/NN |     Takes/NN->VBZ      | Backseat/NN To/TO Safety/
kes/VBZ Backseat/NN To/TO |     Safety/NN->NNP     | on/IN Bridges/NNPS
NN To/TO Safety/NNP on/IN |    Bridges/NN->NNPS    | 
              EVERYONE/NN |     AGREES/NN->VBZ     | that/IN most/JJS of/IN th
   EVERYONE/NN AGREES/VBZ |      that/WDT->IN      | most/JJS of/IN the/DT nat
T nation/NN 's/POS old/JJ |    bridges/NN->NNS     | need/VBP *-1/-NONE- to/TO
BP *-1/-NONE- to/TO be/VB |    repaired/NN->VBN    | or/CC replaced/VBN *-13/-
                          |    Highway/NNP->NN     | officials/NNS insist/VBP 
nsist/VBP 0/-NONE- the/DT |   ornamental/NN->JJ    | railings/NNS on/IN older/
ONE- the/DT ornamental/JJ |    railings/NN->NNS    | on/IN older/JJR bridges/N
lings/NNS on/IN older/JJR |    bridges/NN->NNS     | are/VBP n't/RB strong/JJ 
cles/NNS from/IN */-NONE- |    crashing/NN->VBG    | through/IN ./.
 want/VB *-1/-NONE- to/TO |      lose/NN->VB       | the/DT bridges/NNS '/POS 
ONE- to/TO lose/VB the/DT |    bridges/NN->NNS     | '/POS beautiful/JJ ,/, so
ose/VB the/DT bridges/NNS |       '/''->POS        | beautiful/JJ ,/, sometime
/RB to/TO provide/VB a/DT |     scenic/NN->JJ      | view/NN ,/, ''/'' says/VB
 He/PRP and/CC others/NNS |     prefer/NN->VBP     | *-1/-NONE- to/TO install/
efer/VBP *-1/-NONE- to/TO |     install/NN->VB     | railings/NNS such/JJ as/I
1/-NONE- to/TO install/VB |    railings/NN->NNS    | such/JJ as/IN the/DT ``/`
N shape/NN ,/, ''/'' a/DT | four-foot-high/NN->JJ  | concrete/JJ slab/NN with/
'' a/DT four-foot-high/JJ |    concrete/NN->JJ     | slab/NN with/IN no/DT ope
/JJ slab/NN with/IN no/DT |    openings/NN->NNS    | ./.
   In/IN Richmond/NNP ,/, |      Ind./NN->NNP      | ,/, the/DT type/NN F/NN r
2/-NONE- to/TO replace/VB |     arched/NN->JJ      | openings/NNS on/IN the/DT
o/TO replace/VB arched/JJ |    openings/NN->NNS    | on/IN the/DT G/NNP Street
openings/NNS on/IN the/DT |       G/NN->NNP        | Street/NNP Bridge/NNP ./.
N the/DT G/NNP Street/NNP |     Bridge/NN->NNP     | ./.
                          |     Garret/NN->NNP     | Boone/NNP ,/, who/WP *T*-
 ,/, who/WP *T*-11/-NONE- |    teaches/NN->VBZ     | art/NN at/IN Earlham/NNP 
 teaches/VBZ art/NN at/IN |    Earlham/NN->NNP     | College/NNP ,/, calls/VBZ
re/NN ``/`` just/RB an/DT |      ugly/NN->JJ       | bridge/NN ''/'' and/CC on
ge/NN ''/'' and/CC one/CD |      that/IN->WDT      | *T*-1/-NONE- blocks/VBZ t
/CD that/WDT *T*-1/-NONE- |    blocks/NNS->VBZ     | the/DT view/NN of/IN a/DT
 ,/, Conn./NNP ,/, the/DT |    Charter/NN->NNP     | Oak/NNP Bridge/NNP will/M
NP ,/, the/DT Charter/NNP |      Oak/NN->NNP       | Bridge/NNP will/MD soon/R
he/DT Charter/NNP Oak/NNP |     Bridge/NN->NNP     | will/MD soon/RB be/VB rep
BN *-14/-NONE- ,/, the/DT |    cast-iron/NN->JJ    | medallions/NNS from/IN it
- ,/, the/DT cast-iron/JJ |   medallions/NN->NNS   | from/IN its/PRP$ railings
ions/NNS from/IN its/PRP$ |    railings/NN->NNS    | relegated/VBN to/TO a/DT 
                          |  Compromises/NN->NNS   | are/VBP possible/JJ ./.
