Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
slack/NN ?/. ''/'' he/PRP |     asked/NN->VBD      | *T*-1/-NONE- ./.
                    ``/`` |       I/NNP->PRP       | draw/VBP a/DT blank/NN ./
              ``/`` I/PRP |      draw/NN->VBP      | a/DT blank/NN ./. ''/''
           By/IN most/JJS |    measures/NN->NNS    | ,/, the/DT nation/NN 's/P
ow/RB growing/VBG very/RB |     slowly/NN->RB      | --/: if/IN at/IN all/DT .
                          |    Factory/NNP->NN     | payrolls/NNS fell/VBD in/
               Factory/NN |    payrolls/NN->NNS    | fell/VBD in/IN September/
                          |       So/IN->RB        | did/VBD *?*/-NONE- *T*-1/
-NONE- the/DT Federal/NNP |    Reserve/NN->NNP     | Board/NNP 's/POS industri
T Federal/NNP Reserve/NNP |     Board/NN->NNP      | 's/POS industrial-product
erve/NNP Board/NNP 's/POS | industrial-production/NN->JJ | index/NN ./.
                          |       Yet/NN->CC       | many/JJ economists/NNS ar
           Yet/CC many/JJ |   economists/NN->NNS   | are/VBP n't/RB predicting
omists/NNS are/VBP n't/RB |   predicting/NN->VBG   | that/IN the/DT economy/NN
about/IN *-1/-NONE- to/TO |      slip/NN->VB       | into/IN recession/NN ./.
                 They/PRP |      cite/NN->VBP      | a/DT lack/NN of/IN ``/`` 
 a/DT lack/NN of/IN ``/`` |   imbalances/NN->NNS   | ''/'' that/WDT *T*-47/-NO
lances/NNS ''/'' that/WDT |   *T*-47/NN->-NONE-    | provide/VBP early/JJ warn
'' that/WDT *T*-47/-NONE- |    provide/NN->VBP     | early/JJ warning/NN signa
e/VBP early/JJ warning/NN |    signals/NN->NNS     | of/IN a/DT downturn/NN ./
                          |  Inventories/NN->NNS   | are/VBP closely/RB watche
es/NNS are/VBP closely/RB |    watched/NN->VBN     | *-1/-NONE- for/IN such/JJ
*-1/-NONE- for/IN such/JJ |     clues/NN->NNS      | ,/, for/IN instance/NN ./
                          |   Economists/NN->NNS   | say/VBP 0/-NONE- a/DT bui
NE- a/DT buildup/NN in/IN |  inventories/NN->NNS   | can/MD provoke/VB cutback
IN inventories/NNS can/MD |     provoke/NN->VB     | cutbacks/NNS in/IN produc
ies/NNS can/MD provoke/VB |    cutbacks/NN->NNS    | in/IN production/NN that/
IN production/NN that/WDT |   *T*-48/NN->-NONE-    | can/MD lead/VB to/TO a/DT
/WDT *T*-48/-NONE- can/MD |      lead/NN->VB       | to/TO a/DT recession/NN .
POS factory/NN orders/NNS |     report/VB->NN      | had/VBD good/JJ news/NN o
d/VBD 0/-NONE- factory/NN |  inventories/NN->NNS   | fell/VBD 0.1/CD %/NN in/I
            ``/`` This/DT |    conforms/NN->VBZ    | to/TO the/DT `/`` soft/JJ
conforms/VBZ to/TO the/DT |        `/NN->``        | soft/JJ landing/NN '/'' s
rms/VBZ to/TO the/DT `/`` |      soft/NN->JJ       | landing/NN '/'' scenario/
T `/`` soft/JJ landing/NN |       '/POS->''        | scenario/NN ,/, ''/'' sai
/'' said/VBD *T*-1/-NONE- |    Elliott/NN->NNP     | Platt/NNP ,/, an/DT econo
 *T*-1/-NONE- Elliott/NNP |     Platt/NN->NNP      | ,/, an/DT economist/NN at
 an/DT economist/NN at/IN |   Donaldson/NN->NNP    | ,/, Lufkin/NNP &/CC Jenre
N at/IN Donaldson/NNP ,/, |     Lufkin/NN->NNP     | &/CC Jenrette/NNP Securit
n/NNP ,/, Lufkin/NNP &/CC |    Jenrette/NN->NNP    | Securities/NNP Corp/NNP .
kin/NNP &/CC Jenrette/NNP |  Securities/NNPS->NNP  | Corp/NNP ./.
                    ``/`` |       I/NNP->PRP       | do/VBP n't/RB see/VB any/
``/`` I/PRP do/VBP n't/RB |       see/NN->VB       | any/DT signs/NNS that/IN 
B see/VB any/DT signs/NNS |      that/WDT->IN      | inventories/NNS are/VBP e
 any/DT signs/NNS that/IN |  inventories/NN->NNS   | are/VBP excessive/JJ ./. 
N inventories/NNS are/VBP |    excessive/NN->JJ    | ./. ''/''
                     A/DT |      soft/NN->JJ       | landing/NN is/VBZ an/DT e
c/JJ slowdown/NN that/WDT |   *T*-49/NN->-NONE-    | eases/VBZ inflation/NN wi
NN that/WDT *T*-49/-NONE- |     eases/NN->VBZ      | inflation/NN without/IN *
/NN without/IN *-1/-NONE- |    leading/NN->VBG     | to/TO a/DT recession/NN .
/-NONE- orders/NNS for/IN |   nondurable/NN->JJ    | goods/NNS --/: those/DT i
/NNS for/IN nondurable/JJ |     goods/NN->NNS      | --/: those/DT intended/VB
J goods/NNS --/: those/DT |    intended/NN->VBN    | */-NONE- to/TO last/VB fe
tended/VBN */-NONE- to/TO |      last/JJ->VB       | fewer/JJR than/IN three/C
/CD billion/CD *U*/-NONE- |      after/IN->RB      | *-1/-NONE- climbing/VBG 0
NONE- after/RB *-1/-NONE- |    climbing/NN->VBG    | 0.9/CD %/NN the/DT month/
9/CD %/NN the/DT month/NN |     before/IN->RB      | ./.
                          |     Orders/NN->NNS     | for/IN durable/JJ goods/N
        Orders/NNS for/IN |     durable/NN->JJ     | goods/NNS were/VBD up/RB 
ers/NNS for/IN durable/JJ |     goods/NN->NNS      | were/VBD up/RB 0.2/CD %/N
ble/JJ goods/NNS were/VBD |       up/RP->RB        | 0.2/CD %/NN to/TO $/$ 127
9/CD %/NN the/DT month/NN |     before/IN->RB      | ./.
partment/NN previously/RB |   estimated/VBN->VBD   | that/IN durable-goods/NNS
/RB estimated/VBD that/IN | durable-goods/NN->NNS  | orders/NNS fell/VBD 0.1/C
                          |    Factory/NNP->NN     | shipments/NNS fell/VBD 1.
                          |   Shipments/NN->NNS    | have/VBP been/VBN relativ
BP been/VBN relatively/RB |      level/NN->JJ      | since/IN January/NNP ,/, 
P ,/, the/DT Commerce/NNP |   Department/NN->NNP   | noted/VBD 0/-NONE- *T*-1/
                          | Manufacturers/NNP->NNS | '/POS backlogs/NNS of/IN 
  Manufacturers/NNS '/POS |    backlogs/NN->NNS    | of/IN unfilled/JJ orders/
 '/POS backlogs/NNS of/IN |    unfilled/NN->JJ     | orders/NNS rose/VBD 0.5/C
*U*/-NONE- ,/, *-3/-NONE- |     helped/NN->VBN     | *-2/-NONE- by/IN strength
/DT defense/NN capital/NN |     goods/NN->NNS      | sector/NN ./.
